customer_id,name,email_present,city,country,is_premium,signup_date
C0001,Customer 1,True,London,India,True,2025-12-07
C0002,Customer 2,True,Mumbai,USA,False,2025-09-19
C0003,Customer 3,False,Berlin,India,True,2025-09-28
C0004,Customer 4,True,Mumbai,UK,True,2024-03-07
C0005,Customer 5,True,Chennai,USA,False,2025-03-23
C0006,Customer 6,True,Berlin,UK,True,2025-07-26
C0007,Customer 7,True,London,UK,False,2025-09-24
C0008,Customer 8,True,Mumbai,USA,False,2024-09-18
C0009,Customer 9,False,Mumbai,UK,True,2025-03-07
C0010,Customer 10,True,Berlin,India,True,2025-11-16
C0011,Customer 11,True,New York,India,False,2025-09-20
C0012,Customer 12,True,Berlin,UK,False,2024-12-24
C0013,Customer 13,True,Chennai,USA,True,2025-04-03
C0014,Customer 14,True,London,Germany,True,2024-12-09
C0015,Customer 15,True,Berlin,USA,False,2025-11-05
C0016,Customer 16,True,Berlin,UK,True,2025-10-26
C0017,Customer 17,True,New York,USA,False,2024-11-22
C0018,Customer 18,True,Mumbai,India,False,2024-06-06
C0019,Customer 19,True,London,India,True,2024-11-19
C0020,Customer 20,True,Chennai,USA,True,2025-09-30
C0021,Customer 21,True,New York,USA,False,2024-02-05
C0022,Customer 22,True,Mumbai,India,True,2024-09-09
C0023,Customer 23,True,Mumbai,India,False,2025-09-06
C0024,Customer 24,True,Berlin,Germany,True,2024-10-13
C0025,Customer 25,True,Mumbai,USA,True,2025-04-07
C0026,Customer 26,True,Mumbai,India,True,2025-03-02
C0027,Customer 27,True,Mumbai,Germany,True,2025-07-20
C0028,Customer 28,True,Chennai,USA,False,2024-08-19
C0029,Customer 29,True,Berlin,USA,True,2025-02-21
C0030,Customer 30,True,Chennai,Germany,True,2025-10-13
C0031,Customer 31,True,Berlin,USA,False,2024-07-05
C0032,Customer 32,True,London,Germany,False,2025-07-16
C0033,Customer 33,True,Berlin,India,False,2024-06-28
C0034,Customer 34,True,London,Germany,False,2024-03-07
C0035,Customer 35,True,Chennai,UK,True,2025-05-16
C0036,Customer 36,True,Mumbai,India,True,2025-05-11
C0037,Customer 37,False,Chennai,India,True,2024-03-26
C0038,Customer 38,True,Chennai,Germany,True,2025-01-28
C0039,Customer 39,True,Berlin,Germany,True,2024-08-22
