product_id,product_name,category,unit_price,currency,unit_price_usd,price_tier
P0001,Product 1,Books,384.61,INR,4.6153200000000005,low
P0002,Product 2,Books,390.01,USD,390.01,high
P0003,Product 3,Electronics,58.51,INR,0.70212,low
P0004,Product 4,Toys,290.02,INR,3.48024,low
P0005,Product 5,Books,471.03,GBP,598.2081,high
P0006,Product 6,Grocery,298.09,USD,298.09,high
P0007,Product 7,Home,55.44,EUR,59.8752,medium
P0008,Product 8,Fashion,399.13,USD,399.13,high
P0009,Product 9,Toys,176.87,USD,176.87,high
P0010,Product 10,Grocery,39.13,INR,0.46956000000000003,low
P0011,Product 11,Toys,11.26,INR,0.13512,low
P0012,Product 12,Home,57.24,GBP,72.6948,medium
P0013,Product 13,Toys,355.12,GBP,451.0024,high
P0014,Product 14,Grocery,368.23,EUR,397.68840000000006,high
P0015,Product 15,Fashion,309.88,INR,3.71856,low
P0016,Product 16,Grocery,235.11,GBP,298.5897,high
P0017,Product 17,Books,164.54,INR,1.97448,low
P0018,Product 18,Toys,143.07,USD,143.07,high
P0019,Product 19,Fashion,376.49,EUR,406.60920000000004,high
P0020,Product 20,Toys,171.52,GBP,217.83040000000003,high
P0021,Product 21,Books,95.01,INR,1.14012,low
P0022,Product 22,Home,399.93,INR,4.7991600000000005,low
P0023,Product 23,Grocery,440.76,INR,5.28912,low
P0024,Product 24,Fashion,280.12,INR,3.36144,low
P0025,Product 25,Grocery,47.38,EUR,51.17040000000001,medium
P0026,Product 26,Books,246.85,GBP,313.4995,high
P0027,Product 27,Toys,324.72,GBP,412.3944,high
P0028,Product 28,Electronics,397.5,GBP,504.825,high
P0029,Product 29,Grocery,114.69,INR,1.37628,low
P0030,Product 30,Fashion,156.57,EUR,169.0956,high
P0031,Product 31,Fashion,239.26,INR,2.87112,low
P0032,Product 32,Grocery,215.62,INR,2.58744,low
P0033,Product 33,Toys,179.15,INR,2.1498,low
P0034,Product 34,Books,156.78,INR,1.8813600000000001,low
P0035,Product 35,Home,362.04,USD,362.04,high
P0036,Product 36,Grocery,372.73,USD,372.73,high
P0037,Product 37,Grocery,99.81,EUR,107.79480000000001,high
P0038,Product 38,Fashion,141.87,GBP,180.1749,high
P0039,Product 39,Books,490.35,INR,5.884200000000001,low
P0040,Product 40,Books,117.6,INR,1.4112,low
P0041,Product 41,Fashion,12.0,INR,0.14400000000000002,low
P0042,Product 42,Electronics,140.78,EUR,152.04240000000001,high
P0043,Product 43,Books,350.22,INR,4.202640000000001,low
P0044,Product 44,Electronics,55.78,GBP,70.84060000000001,medium
P0045,Product 45,Toys,237.35,INR,2.8482,low
P0046,Product 46,Electronics,96.26,INR,1.1551200000000001,low
P0047,Product 47,Toys,470.83,INR,5.64996,low
P0048,Product 48,Toys,411.95,USD,411.95,high
P0049,Product 49,Grocery,41.67,GBP,52.9209,medium
P0050,Product 50,Fashion,80.1,USD,80.1,medium
P0051,Product 51,Books,47.16,INR,0.56592,low
P0052,Product 52,Toys,281.25,USD,281.25,high
P0053,Product 53,Toys,388.97,EUR,420.08760000000007,high
P0054,Product 54,Home,454.71,GBP,577.4816999999999,high
P0055,Product 55,Fashion,156.16,GBP,198.32319999999999,high
P0056,Product 56,Grocery,306.77,USD,306.77,high
P0057,Product 57,Books,474.06,USD,474.06,high
P0058,Product 58,Electronics,136.0,EUR,146.88,high
P0059,Product 59,Fashion,123.73,EUR,133.6284,high
P0060,Product 60,Toys,82.48,USD,82.48,medium
