order_id,customer_id,product_id,quantity,amount,currency,amount_usd,order_date,price_tier,net_revenue,is_returned
O00545,C0115,P0011,3,33.78,INR,0.40536,2026-04-28,low,0.40536,False
O00071,C0048,P0037,4,399.24,EUR,431.17920000000004,2026-03-21,high,431.17920000000004,False
O00550,C0103,P0059,4,494.92,EUR,534.5136,2026-03-16,high,534.5136,False
O00528,C0081,P0018,2,286.14,USD,286.14,2026-02-04,high,286.14,False
O00456,C0034,P0040,3,352.8,INR,4.2336,2026-04-20,low,4.2336,False
O00307,C0044,P0029,2,229.38,INR,2.75256,2026-06-27,low,2.75256,False
O00003,C0118,P0008,4,1596.52,USD,1596.52,2026-03-20,high,1596.52,False
O00516,C0009,P0007,1,55.44,EUR,59.8752,2026-04-27,medium,59.8752,False
O00387,C0045,P0035,1,362.04,USD,362.04,2026-01-01,high,362.04,False
O00284,C0084,P0004,1,290.02,INR,3.48024,2026-06-02,low,0.0,True
O00298,C0105,P0030,4,626.28,EUR,676.3824,2026-05-21,high,676.3824,False
O00609,C0119,P0046,4,385.04,INR,4.620480000000001,2026-06-05,low,4.620480000000001,False
O00816,C0118,P0024,2,560.24,INR,6.72288,2026-05-26,low,6.72288,False
O00193,C0111,P0010,3,117.39,INR,1.40868,2026-03-12,low,1.40868,False
O00438,C0048,P0025,4,189.52,EUR,204.68160000000003,2026-06-04,medium,204.68160000000003,False
O00772,C0001,P0050,4,320.4,USD,320.4,2026-02-01,medium,320.4,False
O00069,C0017,P0010,2,78.26,INR,0.9391200000000001,2026-06-19,low,0.9391200000000001,False
O00606,C0040,P0045,3,712.05,INR,8.544599999999999,2026-03-03,low,0.0,True
O00474,C0111,P0017,3,493.62,INR,5.92344,2026-05-01,low,5.92344,False
O00451,C0008,P0003,2,117.02,INR,1.40424,2026-02-23,low,0.0,True
O00195,C0001,P0055,1,156.16,GBP,198.32319999999999,2026-04-27,high,198.32319999999999,False
O00147,C0066,P0030,1,156.57,EUR,169.0956,2026-02-04,high,169.0956,False
O00683,C0007,P0049,5,208.35,GBP,264.6045,2026-03-24,medium,264.6045,False
O00308,C0092,P0036,2,745.46,USD,745.46,2026-06-29,high,745.46,False
O00294,C0062,P0008,4,1596.52,USD,1596.52,2026-06-25,high,1596.52,False
O00770,C0033,P0033,5,895.75,INR,10.749,2026-02-18,low,10.749,False
O00421,C0026,P0042,5,703.9,EUR,760.212,2026-02-03,high,760.212,False
O00565,C0065,P0013,5,1775.6,GBP,2255.0119999999997,2026-02-11,high,0.0,True
O00283,C0047,P0051,1,47.16,INR,0.56592,2026-05-31,low,0.0,True
O00832,C0099,P0017,2,329.08,INR,3.94896,2026-11-05,low,3.94896,False
O00612,C0088,P0021,4,380.04,INR,4.56048,2026-06-16,low,0.0,True
O00798,C0031,P0020,5,857.6,GBP,1089.152,2026-04-14,high,1089.152,False
O00210,C0076,P0054,1,454.71,GBP,577.4816999999999,2026-09-02,high,577.4816999999999,False
O00238,C0023,P0055,3,468.48,GBP,594.9696,2026-02-21,high,594.9696,False
O00754,C0062,P0002,5,1950.05,USD,1950.05,2026-06-12,high,1950.05,False
O00505,C0049,P0004,3,870.06,INR,10.440719999999999,2026-01-19,low,10.440719999999999,False
O00166,C0088,P0009,3,530.61,USD,530.61,2026-03-04,high,530.61,False
O00731,C0107,P0015,4,1239.52,INR,14.87424,2026-01-03,low,14.87424,False
O00642,C0025,P0002,2,780.02,USD,780.02,2026-01-23,high,0.0,True
O00867,C0090,P0025,1,47.38,EUR,51.17040000000001,2026-01-15,medium,51.17040000000001,False
