customer_id,total_orders,total_spend_usd,avg_order_value,return_rate,days_since_last_order,sessions_count,cart_abandon_rate
C0001,6,2746.1951200000003,457.6991866666667,0.16666666666666666,158,43,1.0
C0002,7,5257.8209,751.1172714285714,0.5714285714285714,152,28,1.0
C0003,8,5021.35364,627.669205,0.0,159,31,1.0
C0004,7,2616.5382,373.79117142857143,0.2857142857142857,122,36,1.0
C0005,4,2199.9363000000003,549.9840750000001,0.0,183,28,1.0
C0006,9,4354.625480000001,483.8472755555556,0.2222222222222222,29,36,1.0
C0007,5,2503.57494,500.714988,0.0,165,39,1.0
C0008,4,112.99368000000001,28.248420000000003,0.25,161,31,1.0
C0009,8,117.8358,14.729475,0.125,4,34,1.0
C0010,5,603.14864,120.629728,0.2,183,27,1.0
C0011,7,4737.19248,676.7417828571428,0.14285714285714285,29,35,1.0
C0012,10,3945.5187,394.55187,0.1,176,35,1.0
C0013,5,1050.1244,210.02488,0.0,186,41,1.0
C0014,6,455.48587999999995,75.91431333333333,0.3333333333333333,162,38,1.0
C0015,6,2764.86308,460.81051333333335,0.16666666666666666,173,33,1.0
C0016,5,2270.487,454.0974,0.2,201,30,1.0
C0017,8,2116.33984,264.54248,0.25,169,36,1.0
C0018,8,1531.34556,191.418195,0.125,198,30,1.0
C0019,5,2962.15962,592.431924,0.2,29,36,1.0
C0020,3,18.21144,6.07048,0.3333333333333333,207,31,1.0
C0021,2,589.22988,294.61494,0.0,154,35,1.0
C0022,7,5862.4716,837.4959428571428,0.14285714285714285,156,39,1.0
C0023,7,5953.433800000001,850.4905428571429,0.0,166,39,1.0
C0024,6,1912.6556400000002,318.77594000000005,0.16666666666666666,214,32,1.0
C0025,9,5437.36632,604.1518133333334,0.2222222222222222,166,32,1.0
C0026,6,1945.1884400000001,324.19807333333335,0.0,223,37,1.0
C0027,3,1698.53688,566.1789600000001,0.0,30,25,1.0
C0028,6,3482.47742,580.4129033333334,0.0,176,28,1.0
C0029,4,1168.58736,292.14684,0.25,173,33,1.0
C0030,7,3852.12096,550.3029942857144,0.0,196,29,1.0
C0031,5,2908.89428,581.778856,0.0,200,26,1.0
C0032,6,2901.25292,483.5421533333333,0.0,124,39,1.0
C0033,4,1605.185,401.29625,0.0,154,26,1.0
C0034,4,216.7554,54.18885,0.5,2,40,1.0
C0035,4,1005.02588,251.25647,0.0,158,33,1.0
C0036,5,802.0227199999999,160.404544,0.6,160,39,1.0
C0037,8,5630.1522,703.769025,0.125,211,35,1.0
C0038,11,7434.675740000001,675.8796127272727,0.0,155,20,1.0
C0039,3,641.9249199999999,213.9749733333333,0.0,190,37,1.0
C0040,7,3572.5495,510.3642142857143,0.42857142857142855,0,32,1.0
C0041,9,3085.3026400000003,342.81140444444446,0.4444444444444444,179,35,1.0
C0042,5,1999.8462000000004,399.96924000000007,0.0,4,52,1.0
C0043,5,5322.7201000000005,1064.54402,0.2,177,23,1.0
C0044,9,300.90404,33.43378222222222,0.1111111111111111,64,31,1.0
C0045,10,6534.24518,653.424518,0.2,199,24,1.0
C0046,5,4267.220700000001,853.4441400000002,0.2,187,32,1.0
C0047,7,4186.86024,598.1228914285714,0.2857142857142857,167,29,1.0
C0048,11,5092.87808,462.9889163636364,0.2727272727272727,160,45,1.0
C0049,11,1816.4305000000002,165.13004545454547,0.09090909090909091,95,34,1.0
C0050,4,4341.750400000001,1085.4376000000002,0.0,237,32,1.0
C0051,6,1561.6918999999998,260.2819833333333,0.0,160,37,1.0
C0052,6,659.9405999999999,109.99009999999998,0.6666666666666666,195,46,1.0
C0053,3,1894.7329000000002,631.5776333333334,0.0,268,35,1.0
C0054,11,2975.11332,270.46484727272724,0.18181818181818182,165,23,1.0
C0055,8,2611.96606,326.4957575,0.0,178,33,1.0
C0056,5,1559.836,311.9672,0.0,124,34,1.0
C0057,10,1121.1031600000001,112.11031600000001,0.3,171,28,1.0
C0058,13,7179.75326,552.2887123076923,0.15384615384615385,0,35,1.0
C0059,4,4219.2485,1054.812125,0.25,205,32,1.0
C0060,5,3064.59536,612.9190719999999,0.0,207,35,1.0
C0061,9,6701.47032,744.6078133333334,0.1111111111111111,180,29,1.0
C0062,7,4530.9682,647.2811714285715,0.2857142857142857,157,30,1.0
C0063,5,2642.28612,528.457224,0.0,163,24,1.0
C0064,6,933.71016,155.61836,0.0,162,26,1.0
C0065,7,4330.025,618.5749999999999,0.5714285714285714,2,29,1.0
C0066,4,1418.6796,354.6699,0.0,162,28,1.0
C0067,9,2676.86538,297.42948666666666,0.1111111111111111,173,26,1.0
C0068,3,6141.821599999999,2047.2738666666664,0.0,246,23,1.0
C0069,9,2065.47748,229.49749777777777,0.0,122,36,1.0
C0070,6,695.6726000000001,115.94543333333336,0.16666666666666666,195,26,1.0
C0071,9,7015.095020000001,779.4550022222223,0.0,158,23,1.0
C0072,6,2215.35882,369.22647,0.3333333333333333,161,22,1.0
C0073,6,3272.18364,545.3639400000001,0.16666666666666666,156,27,1.0
C0074,5,388.65144,77.730288,0.2,165,40,1.0
C0075,4,3168.7366,792.18415,0.0,154,25,1.0
C0076,3,1907.3553,635.7850999999999,0.0,94,36,1.0
C0077,6,1479.35592,246.55931999999999,0.0,190,50,1.0
C0078,9,5349.37332,594.3748133333333,0.1111111111111111,61,33,1.0
C0079,4,2927.51312,731.87828,0.0,221,25,1.0
C0080,4,2229.6588,557.4147,0.0,174,27,1.0
C0081,9,4523.754239999999,502.6393599999999,0.2222222222222222,158,37,1.0
C0082,6,3591.4141600000003,598.5690266666667,0.0,158,33,1.0
C0083,11,7181.53666,652.866969090909,0.0,60,33,1.0
C0084,5,1971.11824,394.223648,0.4,157,25,1.0
C0085,6,1500.12696,250.02116,0.16666666666666666,241,41,1.0
C0086,6,1108.30428,184.71738000000002,0.0,176,27,1.0
C0087,8,4231.33334,528.9166675,0.25,192,28,1.0
C0088,8,2651.51,331.43875,0.25,165,37,1.0
C0089,3,1651.4726400000004,550.4908800000002,0.0,189,34,1.0
C0090,6,2420.8046400000003,403.46744000000007,0.16666666666666666,95,36,1.0
C0091,7,1221.9205200000001,174.5600742857143,0.14285714285714285,155,27,1.0
C0092,6,2688.95912,448.15985333333333,0.16666666666666666,159,29,1.0
C0093,6,2876.4421199999997,479.40701999999993,0.16666666666666666,155,37,1.0
C0094,10,4091.4391800000003,409.14391800000004,0.0,4,21,1.0
C0095,7,1797.6364600000002,256.8052085714286,0.0,164,28,1.0
C0096,7,2593.9300000000003,370.5614285714286,0.14285714285714285,174,36,1.0
