order_id,customer_id,product_id,quantity,amount,currency,order_date,reject_reason
O00552,,P0035,4,1448.16,USD,30/05/2026,missing customer_id
O00483,,P0036,3,,USD,03-17-2026,missing customer_id
O00394,,P0050,2,160.2,USD,19/02/2026,missing customer_id
O00133,,P0023,1,440.76,INR,01-01-2026,missing customer_id
O00060,,P0024,3,840.36,INR,10/05/2026,missing customer_id
O00397,,P0051,3,141.48,INR,29/01/2026,missing customer_id
O00640,,P0008,1,399.13,USD,06-22-2026,missing customer_id
O00755,,P0049,1,41.67,GBP,2026-05-09,missing customer_id
O00664,,P0057,5,2370.3,USD,03-21-2026,missing customer_id
O00780,,P0052,3,843.75,USD,24/03/2026,missing customer_id
O00513,,P0004,3,870.06,INR,08/05/2026,missing customer_id
O00197,,P0007,0,,EUR,05-05-2026,missing customer_id
O00453,,P0050,3,240.3,USD,27/04/2026,missing customer_id
O00459,,P0044,3,167.34,GBP,18/03/2026,missing customer_id
O00341,,P0042,3,422.34,EUR,03/04/2026,missing customer_id
O00512,,P0002,5,1950.05,USD,2026-06-11,missing customer_id
O00587,,P0054,3,,GBP,2026-03-14,missing customer_id
O00895,,P0029,2,229.38,INR,06-22-2026,missing customer_id
O00442,,P0025,5,236.9,EUR,04/03/2026,missing customer_id
O00365,,P0008,3,1197.39,USD,04-28-2026,missing customer_id
O00001,,P0019,3,1129.47,EUR,26/04/2026,missing customer_id
O00493,,P0032,1,215.62,INR,06-18-2026,missing customer_id
O00561,,P0017,2,329.08,INR,01-31-2026,missing customer_id
O00521,,P0012,4,228.96,GBP,04-16-2026,missing customer_id
O00105,,P0007,4,221.76,EUR,17/06/2026,missing customer_id
O00651,,P0002,3,1170.03,USD,2026-05-07,missing customer_id
O00187,,P0049,2,83.34,GBP,2026-04-24,missing customer_id
O00363,,P0012,4,228.96,GBP,05/06/2026,missing customer_id
O00688,,P0048,5,2059.75,USD,06-11-2026,missing customer_id
O00249,,P0006,3,894.27,USD,2026-05-21,missing customer_id
O00247,,P0042,2,281.56,EUR,02/06/2026,missing customer_id
O00108,,P0003,2,117.02,INR,20/02/2026,missing customer_id
O00751,,P0014,4,1472.92,EUR,02-14-2026,missing customer_id
O00547,,P0021,5,475.05,INR,2026-06-20,missing customer_id
O00285,,P0027,1,324.72,GBP,02-09-2026,missing customer_id
O00075,,P0059,4,494.92,EUR,2026-06-16,missing customer_id
O00807,,P0003,2,117.02,INR,02-23-2026,missing customer_id
O00722,,P0015,2,619.76,INR,05-29-2026,missing customer_id
O00393,,P0006,2,596.18,USD,05-08-2026,missing customer_id
O00782,,P0032,1,215.62,INR,05-14-2026,missing customer_id
O00865,,P0055,1,156.16,GBP,2026-02-26,missing customer_id
